title,artist,genre,emotion_tag,year
Someone Like You,Adele,Pop,sad,2011
The Night We Met,Lord Huron,Indie,sad,2014
Skinny Love,Bon Iver,Indie,sad,2008
Fix You,Coldplay,Alternative,sad,2005
Let Her Go,Passenger,Folk,sad,2012
Hurt,Johnny Cash,Country,sad,2002
Tears in Heaven,Eric Clapton,Rock,sad,1992
Nothing Compares 2 U,Sinead O'Connor,Pop,sad,1990
The Sound of Silence,Simon and Garfunkel,Folk,sad,1964
Mad World,Gary Jules,Indie,sad,2001
Everybody Hurts,R.E.M.,Alternative,sad,1992
Stay With Me,Sam Smith,Pop,sad,2014
When the Party's Over,Billie Eilish,Pop,sad,2018
River,Joni Mitchell,Folk,sad,1971
Black,Pearl Jam,Rock,sad,1991
How to Save a Life,The Fray,Rock,sad,2005
Wish You Were Here,Pink Floyd,Rock,sad,1975
Hallelujah,Jeff Buckley,Folk,sad,1994
All I Want,Kodaline,Indie,sad,2012
Death With Dignity,Sufjan Stevens,Indie,sad,2015
Happy,Pharrell Williams,Pop,happy,2013
Can't Stop the Feeling,Justin Timberlake,Pop,happy,2016
Shake It Off,Taylor Swift,Pop,happy,2014
Walking on Sunshine,Katrina and the Waves,Pop,happy,1985
Good as Hell,Lizzo,Pop,happy,2016
Uptown Funk,Mark Ronson ft Bruno Mars,Funk,happy,2014
Don't Stop Me Now,Queen,Rock,happy,1979
September,Earth Wind and Fire,Funk,happy,1978
I Gotta Feeling,Black Eyed Peas,Pop,happy,2009
Best Day of My Life,American Authors,Indie,happy,2013
Here Comes the Sun,The Beatles,Rock,happy,1969
Three Little Birds,Bob Marley,Reggae,happy,1977
Beautiful Day,U2,Rock,happy,2000,
Dancing Queen,ABBA,Pop,happy,1976
Lovely Day,Bill Withers,Soul,happy,1977
Good Feeling,Flo Rida,Pop,happy,2011
Roar,Katy Perry,Pop,happy,2013
On Top of the World,Imagine Dragons,Indie,happy,2012
Send Me on My Way,Rusted Root,Folk,happy,1994
Dog Days Are Over,Florence and the Machine,Indie,happy,2008
Killing in the Name,Rage Against the Machine,Metal,angry,1992
Break Stuff,Limp Bizkit,Metal,angry,1999
Given Up,Linkin Park,Rock,angry,2007,
Bodies,Drowning Pool,Metal,angry,2001
Down with the Sickness,Disturbed,Metal,angry,2000
Du Hast,Rammstein,Metal,angry,1997
Enter Sandman,Metallica,Metal,angry,1991
Bulls on Parade,Rage Against the Machine,Metal,angry,1996
My Own Summer,Deftones,Metal,angry,1997
Chop Suey,System of a Down,Metal,angry,2001
Numb,Linkin Park,Rock,angry,2003
In the End,Linkin Park,Rock,angry,2000
Figure.09,Linkin Park,Rock,angry,2003
Breaking the Habit,Linkin Park,Rock,angry,2003
Crawling,Linkin Park,Rock,angry,2000
Faint,Linkin Park,Rock,angry,2003
Wake Up,Rage Against the Machine,Metal,angry,1992
People = Shit,Slipknot,Metal,angry,2001
Before I Forget,Slipknot,Metal,angry,2004
The Pretender,Foo Fighters,Rock,angry,2007
Breathe,Télépopmusik,Ambient,anxious,2001
Intro,The xx,Indie,anxious,2009
Holocene,Bon Iver,Indie,anxious,2011
Motion Picture Soundtrack,Radiohead,Alternative,anxious,2000
Exit Music,Radiohead,Alternative,anxious,1997
How to Disappear Completely,Radiohead,Alternative,anxious,2000
Pyramid Song,Radiohead,Alternative,anxious,2001
Videotape,Radiohead,Alternative,anxious,2007
Weird Fishes,Radiohead,Alternative,anxious,2007
Motion,Bonobo,Electronic,anxious,2013
Breathe Me,Sia,Pop,anxious,2004
Liability,Lorde,Pop,anxious,2017
Writer in the Dark,Lorde,Pop,anxious,2017
Hard Place,H.E.R.,RnB,anxious,2018
ilomilo,Billie Eilish,Pop,anxious,2018
ocean eyes,Billie Eilish,Pop,anxious,2016
8,Billie Eilish,Pop,anxious,2018
i love you,Billie Eilish,Pop,anxious,2019
my future,Billie Eilish,Pop,anxious,2020
the 1,Taylor Swift,Pop,anxious,2020
Lo Fidelity,Nils Frahm,Ambient,bored,2013
Says,Nils Frahm,Ambient,bored,2011
Gymnopédie No 1,Erik Satie,Classical,bored,1888
Clair de lune,Claude Debussy,Classical,bored,1905
Experience,Ludovico Einaudi,Classical,bored,2013
Una Mattina,Ludovico Einaudi,Classical,bored,2004
River Flows in You,Yiruma,Classical,bored,2001
Kiss the Rain,Yiruma,Classical,bored,2003
Comptine d'un autre ete,Yann Tiersen,Classical,bored,2001
On the Nature of Daylight,Max Richter,Ambient,bored,2004
Horizon,Tycho,Electronic,bored,2011
A Walk,Tycho,Electronic,bored,2011
Awake,Tycho,Electronic,bored,2014
The Wisp Sings,Winter Aid,Indie,bored,2015
Intro,Hippo Campus,Indie,bored,2017
